,Rating
33,"Wim Wenders' Paris, Texas is one of the best movies that I have seen in along time, as well as being one of the most heartbreaking. The movie tells the extraordinary story about a man named Travis (played by Harry Dean Stanton who gives the finest performance of his career) who is nowhere to be found for 4 years until his brother Walter (played by Dean Stockwell) finds him and takes him home with back to Los Angeles where he encounters his sister in law Anne (played by Aurore Clement), and Travis's son Hunter (played by Hunter Carson). Then after a few days Travis and Hunter spend a lot of time together, and then start heading down to Texas to find Travis's wife and Hunter's mother Jane (played by Natassja Kinski).This movie is not only heartbreaking it is also heartwarming, the movie is one of the best road trip movies that I have seen in along time including Rain Man (1988), and Nebraska (2013, especially for that reason because of the wonderful screenplay by Sam Shepard. But in the end I really do think this movie is for everyone to watch depending if you really want to see it or not, it also depends on what type of genre you like for movies."
34,"Travis, a mysterious, nearly mute drifter, tries to reconnect with his young son, living with his brother in Los Angeles, and his missing wife coming soon on criterion 4k ultra hd release July."
35,"One of my favorite films. Great screenwriter (Sam Shepard), great director (Wim Wenders), great musician on the soundtrack (Ry Cooder). By turns a mystery, an adventure, a love story as well as one of the best renditions of the emergence of wisdom-within-relationship that I have ever seen. This film may take a bit of patience the first time one views it but, I assure you, that patience pays off. This kind of human depth is only achieved once in a blue moon in today's cultural landscape. Did I say that I recommend this movie? I think that, in particular, the combination of European and American perspectives makes for an especially fresh presentation of some classic themes."
36,"The film is about damaged self destructive people. Well made and acting spot on. There is no happiness in the film. Except for when Hunter is with his aunt and uncle. Hunter's reuniting with his biological father and mother is to his detriment. Both travis and Jane are damaged and a leopard cant change his spots. Seeing the end of the movie I feared for Hunter and hoped he would be returned to his uncle and aunt who offered hunter a stable home. But this depressing ending is what makes this film great because in real life there isn't always a happy ending and people remain damaged, self destructive, irresponsible, and degenerate despite their best intentions."
37,"""Paris, Texas"" is almost too beautiful for words - a sublime poem of love, loneliness, loss, alienation & redemption. Superbly acted by Harry Dean Stanton, Nastassja Kinski, Hunter Carson, Aurore Clement and Dean Stockwell; written by Sam Shepard and L.M. Kit Carson, and directed by Wim Wenders (""Wings of Desire""), this is one of the best films of the 80's and, well, of all-time.Well-deserved winner of the Golden Palm at Cannes '84, the story of Travis Henderson (probably the best performance of Harry Dean Stanton's long, underrated career - the man's a real American treasure, yet is never mentioned in most Great Actors' list) and his little son, Hunter (Hunter Carson), as they hit the road looking for their ex-wife/mother (Nastassja Kinski), respectively, paints a picture of tortured lives in southwest America. The feeling of the very German Wenders's narrative, though, is universal. I'd compare it to the fantastic Taiwanese Ang Lee's vision of America in masterpieces such as ""The Ice Storm"" and ""Brokeback Mountain"". Ry Cooder's score is also spotless and helps create the perfect mood for the story. A film to be seen over and over again. 10/10."
38,"A wonderful film that boasts a faultlessly atmospheric soundtrack and some of the most eye-catching cinematography you're sure to ever see in a film. Wim Wenders creates a fascinating story here about a purposeless man who is brought back into civilization and seeks to repair the mysterious problems of his past. Featuring a beautifully restrained performance by the late Harry Dean Stanton, this is a film that can quite simply change your perspective on life if you can find a way to totally give yourself to it."
39,"This film is slow, and so we have time to feel the privacy of the characters. The nicest scene for me is when the little boy go to his mother's arms. It is so simple and so strong, and so true! For me it's like if all the movie was a preparation for this moment. Great film, without useless things."
40,"What an intriguing drama. It was such a cool story. Everything makes sense. Maybe you won't agree with the end, but it is at least plausible. I love the twists and turns. I love that you didn't really know what was going on. These questions kept on growing until almost the very end. Great timing... Great acting... Can't say enough good things about this movie. Must see! So not what I thought I was going to see when I heard the title. It reminded me a bit of rain man at times, but the story is completely different. I guess I should say that rain-man reminded me of this movie. I almost also prefer the story line in Paris, Texas than in the rain-man (though I also loved the rain-man)."
41,The scene where Stanton walks his son to school is why I have children. The Scene where he goes into the phone booth to talk to his wife is why I will always love my wife.  Of the 864 movies I have seen in my life... this is the most profound.
42,"A man (Harry Dean Stanton) is found in the desert after four years.In case you were wondering, yes, there really is such a place as Paris, Texas, and it is a city of around 25,000 people. Why exactly Wim Wenders (or more accurately playwright Sam Shepard) chose it (besides the interesting name) is anyone's guess. Probably no reason in particular.It is interesting to see that this film seems to have had more influence on musicians than other filmmakers. Irish rock group U2 cite Paris, Texas as an inspiration for their album ""The Joshua Tree"". Scottish bands Travis and Texas both took their names from this film. And late musicians Kurt Cobain and Elliott Smith claimed this was their favorite movie of all time."
43,"Within the very first few minutes of this film you will witness bad acting and directing from the overly deliberate mechanized movements of each of the actors. Yes, the theme is beautiful but not the delivery and that's too bad."
44,"This movie is both very similar and very different to the other Wenders movie I've seen, Alice in den Stadten. The same dislocated, travelling emptiness is felt in a reporter sent to America and finding nothing to report on as a traumatized, nearly amnesiac Texan searching for redemption for his family. On the other hand, the worlds are completely different... the flatness and lack of deep fields in ""Alice"" are met with gorgeous pastiche of deep reds, blues, and greens in Paris, Texas. Indeed, in this latter movie, visuals sometimes overtake the narrative thread.Wenders certainly has a relationship with vagabond sensibilities that I really dig. In this movie, however, it is almost surprising to see the movie come to a narrative conclusion. Better than the surprise felt at actual closure is the 20 minute long reveal at the ending itself, which is just as satisfying and heartbreaking as the long build-up would bring the audience to expect. I could watch that ending over and over and over again, and it's been a long time since I've seen something so satisfying.--PolarisDiB"
45,"It's perfect in all ways and it's brilliant in all ways, Paris, Texas is a beautiful, realistic, depressing story, with a master performance by all the cast especially Harry Dean Stanton, Paris, Texas is just become one of my personal favorite and best films of all time, this movie is too good to be made."
46,"I shall be very generous and give this overrated movie 3 stars.I can't believe this movie won such awards.The reason I do so is because of the superb cinematography by Robby Müller. That, some nice dialogue, the mirror-sex concept and the beauty of Nastassja Kinski somehow made this film not a (complete)waste of time.The rest of the movie: mediocre acting, a childish plot, annoying and 2-dimensional characters, without anything symbolic and that awful scratchy guitar music...Don't waste your time on this one."
47,"'Paris, Texas' is a slow, subtle, dark and moody film that deals with love, forgiveness and redemption. It starts off with some stunning desert images where a Harry Dean Stanton wanders around until he is found by his brother. The enigmatic soundtrack stays in tune with the situations. The cinematography adds a spacious but lonely feel. Harry Dean Stanton, Dean Stockwell and Natassja Kinski are exceptional performers. They all excelletnly downplay their parts. The film starts off with little dialogue but as the goings-on proceed, the dialogues/monologues more or less take over and become stronger as they reveal a starkness of the characters' inner thoughts. This is especially beautifully captured in the later scenes between Stanton and Kinski. 'Paris, Texas' is also intricately layered and I am sure to discover more things with each repeat viewing. Sheperd's writing is wonderful as he weaves complex themes into the story and memerizes the viewer. In a nutshell, 'Paris, Texas' is a haunting and powerful picture that, once it captivates the audience, it lingers in mind long after the closing credits have rolled."
48,"Plot - 8/10
Cinematography - 9/10
Score - 7/10
Acting - 8/10
Favourite performance - Harry Dean Stanton
Favourite moment - a tie between the walk back from school and Travis' first interaction with JaneOverall - 8/10"
49,"""Paris, Texas"" is a co-production between West Germany, France and the UK from the year I was born. The language is mostly English. At approximately 2.5 hours, slightly under, it is a really long film. One of the three writers here is Sam Shepard, a very prolific actor himself, and actually this movie is from the year when he scored his one and only Oscar nomination, so you could say that he was maybe at his creative peak there. The script is not by Wim Wenders, the man who is considered one of the finest German filmmakers of all time and luckily he is still alive and I got to see him in person a few years ago on the occasion of one of his newest movies. He also was very prolific of course when it comes to documentaries, but this movie we have here is a definite contender for his most known live action movie, even if I must say it is not my favorite from him. As you can see from my rating perhaps too. But that is just because some of the other stuff he came up with is so good and not because this one here is bad or anything. It definitely is not. Nonetheless I would say that the awards attention, namely a BAFTA win, a unanimous Palme d'Or and the big prize at the German Film Awards that year were a bit too much, just like the fact that it is still listed in the imdb top250 highest-rated movies at that point, even if it is very low on said list, so could fall out in 2021 or 2022 perhaps.The Golden Globe nomination was for Foreign Film obviously, but at the Oscars of course it did not get in, was not even selected by West Germany because, like I said early on, the film is in the English language. And not just the name of the director is a pretty famous one here, but also some of the names and faces from the cast will seem familiar. The one lead actor here is Harry Dean Stanton, who was probably older already than he looked when he made this movie and died not too long at a relatively ancient age. But he left us another western to say farewell and that one is pretty good too, just like this one here. Can you call this film a western? I don't know. Sometimes it seemed to me this way, especially the desert scenes very early on, but I can also see why people would say it is a drama, family drama probably, just like it is declared here on imdb. It's not too important anyway what it is. As long as it's good. And that it is. So yeah, Stanton does a good job, but a lot of his performance is very quiet, very subtle, not only becaue he is not talking at all in the first 30 minutes or even more. Stockwell plays his brother and he is still alive today and Clément plays the latter's wife and so is she, but she is not that old anyway, so no big surprise, but still nice. I actually liked how they acted towards the protagonist and how they treated him, also the small gestures. Of course, she was scared of losing her ""son"" to him, but she did her best to not make it too obvious. And it came pretty easy because she liked him too, even if he was just extended family.The child actor here is played by Hunter Carson, who has the same first name like his character and I think that is nothing too uncommon for Wenders, but I will get to that later on. The late Bernhard Wicki has a nice little cameo early on that brought more comedy than I expected and I also did not really expect him to be in this movie, but I am still glad he is in it and he was a welcome inclusion. And finally Nastassja Kinski: She has a lot of screen time in the last third of the movie. I read that some thought her portrayal was iconic even (many still think so today), but I would not go that far. Still she was very commanding and gave a great performance and definitely stole the last 40 minutes, even if admittedly Stanton had absolutely no material there to be on equal terms with her. It's all about her there. And she is very good. A bit of a pity that she could not deliver the exact same way many more times in her long career. After seeing her here, her talent is undeniable. She plays the mother of the boy I just mentioned. This surprised me a bit I must say because she seemed way too young at first to have a kid that is almost ten, so I thought she was just another character, but no she is indeed the mother. I thought maybe the first blonde woman could be the mother, but the protagonist was just disappointed what she had turned into and that is why he kept moving forward to find the mesmerizing character played by Kinski. Of course, that also means quite something if I say it as somebody who is not really too much into blondes.One thing you need to pay attention to is the use of the color red in the last third of the movie, not only, but most of all when it comes to clothing. However, there are also smaller examples of striking red like for example the telephone. Or the car of course. Cars I could say. Actually, I felt that maybe they were following the wrong car when a second red car showed up, but I should have trusted the boy. Clearly he knew what he was doing. My bad. In terms of him and how he goes on a road trip with his father in the second half, I immediately had to think of ""Alice in the Cities"". Wenders clearly loved the idea of a grown man travelling around with a child in order to have said child reunited with his parents. But the good thing is that it never felt repetitive, so all is fine. I also liked to watch how he grows closer with his father. And how it all happens relatively undramatic. Like there is no huge emotional turmoil for the son. Like there is for his uncle's wife. The son says on one occasion even that he has two dads now when he talks to his friend from school. And how he eventually does walk home with his father after the initial struggles and how he calls him ""dad"" after watching the old video with his parents I think was downright sweet. The uncle was also a bit more relaxed than his wife, but hey it makes sense. Women are often more emotional.One thing I must say is that this film was heading into a completely different direction than I expected early on when we have these scenes with the mute man in the desert. I would not say I had any idea really which directions it could be going for, but what happened and what paths Wenders was going on I did not expect. As for the muteness and the sound of voices, this is a very crucial component here: Early on, our ""hero"" would not talk at all and at the end when he is talking to his former partner, he initially has nothing but his voice to keep her in the room as initially she does not see him, only hear him and yet she does not recognize him because, like she said, she heard his voice in every man. But yeah, that was really impressive framework there that made quite an impact in my opinion and not too many paid attention I have a feeling. The development and transformation of Harry Dean Stanton's character. Of course, as always with Wenders, there is also a pretty unique of subtle (and sweet) comedy to his movies. Nothing in your face. The exact opposite in fact, but still it just gets audiences in really good spirits and makes you feel a bit warm inside your chest. The reunion of mother and son is of course also very touching at the end and Wenders sure knows how to come up with happy endings that also feel pretty authentic and not just for the sake of making audiences feel good while losing realism and authenticity in the process. Not the case here luckily. This film surely felt shorter than it actually was and for 150-minute movies (or almost), this is always a good sign. Nicely done from everybody involved.The criticisms I have here are just minor really, here and there a scene I did not like that much or that did not feel too realistic, but maybe that is also at least partially subjective. One example would be how HDS's character falls asleep inside the car with his boy calling him to follow the red car. That was a bit absurd maybe. But yeah, difficult to come up with real flaws here. Wenders' films are always nicely atmospheric and have also really good music. This one is no exception. Honestly, the western elements early on made me wish for Wenders to do a 100% western movie (like the old ones with Eastwood etc.), but I'm afraid this will never become reality. Oh yeah, I had this film on my watch list for a long, long time, so I am happy that I got lucky to see this film on the big screen yesterday on the occasion of Wenders' 75th birthday not too long ago. If you get the chance, I recommend you to take it as well. certainly better than to see this film on a small laptop or television screen. Anyway, finally I will create a frame as well because the title confused me a bit and I always kinda thought that it would include a journey from the French capital to Texas, but of course I was really wrong as the comma should have told me anyway. I give this film a thumbs-up overall, even though not a truly enthusiastic one. But it is a good watch and I suggest you go check it out."
50,"Nothing to see here, friends. Maybe I am lacking something here and the fault lies with me and not the film. After all, people are crazy about this film. For me it was two hours and twenty minutes that went nowhere in particular. Don't see how anyone can give a darn about the characters in this film. Still don't know what Travis was doing for four years or how he lost his memory. Don't see what there is to praise in this film. For me it was a colossal bore."
51,"SPOILER WARNING The movie was often engaging, but there were times I wanted to fast-forward through the seemingly endless pregnant pauses. And then, after establishing the depth of love and committment to Hunter that Travis' brother and sister-in-law had for the boy, the story abandoned the couple in favor of Travis' drawn out, moon-eyed angst. Also, it was never established that Hunter's mum was in any way prepared to regain custody of her son. Hunter had already come to love his foster parents, and they, he. What about the emotional trauma of suddenly ending that relationship? We haven't a clue, because the writer/director didn't think it was necessary to resolve the issue. I'll give it this; it's one of those movies where one truly feels they've gotten their money's worth: it seemed longer'n a Baptist sermon in June."
52,"Paris, Texas is like a flowing river of life. I didn't want the film to end. It encompasses everything from the love of a child, departures, loves, to life's philosophy. The film takes you on a captivating journey through various emotions and experiences. It beautifully portrays the complexities of human relationships and the profound impact of our choices. ""Paris, Texas"" is a cinematic masterpiece that leaves a lasting impression, making you contemplate the intricacies of life long after the credits roll.""Paris, Texas"" is an exquisite cinematic experience, skillfully crafted to evoke a myriad of emotions from its audience. It takes us on an intimate journey of self-realization, human relationships, and the everlasting impact of our choices. Wim Wenders' masterful direction, combined with outstanding performances and a touching score, makes this film a truly unforgettable and cherished gem in the world of cinema."
53,"""Every man has your voice."" 'Paris, Texas' is one of the best art-house westerns out there. A slow-burn two-and-a-half-hour movie that kept my eyes locked onto the screen. How a movie can be so warm, and gentle hit the hardest in emotions. The movie is long and slow paced, so of course it's not going to be for everyone, but then again, every movie isn't for everyone."
54,"""Paris, Texas"" is just a word game. The Paris of Texas is not the Paris of romance, it's just a bare field.But for Travis, it means a lot: it's where his parents first had sex -- the source of his existence; It was the place he had bought with Jane, and he even wanted to live there with her. The loneliness and desolation of the barren land reflect Travis' extreme loneliness.After saying goodbye to his family, Travis is sure to look for this place again, after all, this is where his soul resides.
The loneliness and depth of the movie hit my soul. Forever alone, I'm afraid I'm Travis, afraid I'll be alone forever."
55,"A drama that deals with the exploration of the protagonist's confrontation of facing his family issues. The film fails, due to the film being depended on comedic moments. Personally, I did not find the film funny. Therefore, I could not connect with the film. On the plus side, the film's cinematography is gorgeous. At times, it looks like the cinematography was done by Soderberg in the late 90's. Simply gorgeous. Across the board, the acting is excellent. Despite not liking the film, the scene in Houston is astounding. In short, this movie would of been great if the comedy deliver or if it would been less quirky. Besides these two major problems, it is a well crafted film."
56,"It's two hours and a half, but it doesn't feel like it. A story about loss and grief due to the end of a relationship, but also about forgiveness. There is a smart use of color that helps convey the overall mood of the film. I certainly recommend it and I will watch it again."
57,"I watched Paris, Texas on TCM recently. I noticed that it was highly rated and so I figured I'd give it a try. I think I can safely say that it is not a fast-moving film. There are no gunshots or car chases. There are few angry voices. It is the simply story of a down-and-out man trying to create a little good in the world he once lived.If I have a complaint about the movie is that it is about one chapter in the life of an ordinary man. Hence, a fairly long movie that is slow-moving movie with no gunshots or car chases. Not exactly boring, but not edge-of-the-seat exciting. The good part is that it was well acted with good cinematography. If you want a leisurely film featuring a snippet of life, Paris, Texas might be for you."
58,"It is by this film that I discovered Wim Wenders is filmography and learned to appreciate the immense character actor that is Harry Dean Stanton which is quite funny since he plays the leading role in this Palme d'or.I couldn't ask more than this movie, it proposes an in-depth analysis of relationships (Father-Son, Brother-Brother, Husband-Wife) in a realistic and touching way while taking maximum profit of complex acting performances and simple yet effective directingThere is nothing less or more to say about Paris, Texas. It is a movie that can't be described traditionally, you need to see it to feel it."
59,"Paris Texas (1984)
9/10
Man that quit life returns after fours years of exile in desert tries to reconnect with his young son and ex-wife.Setting of southwest US lovingly captured in all its sun faded glory. Rugged expanse of the desert landscape, dilapidated roadside motels, psychedelic neon at dusk. Score is simple and evocative, twang of a lonely slide guitar rolls and lingers in the background like tumbleweeds.Harry Dean Stanton, who is the lead actor as the father, put in a very impressively understated performance. Effortlessly channeling wide range of emotion ranging from being a mute husk, hopeful sheepishness, nostalgic longing, pained regrets, and silent rage of jealousy. All other supporting actors are also good. Child actor deserves special shout for very natural performance in a tricky role.The mystery of the father's past drives the plot in the first half of the movie. For what compels a parent to do the unconscionable? What sort of demons were they running from? You start seeing glimpses of humanity as he starts to reacclimate to civilization. Then memories starts to return; the past hurt that had rendered him mute slowly bubbles up to the surface. Culminating in a final reunion that reveals the origin of the split. It speaks to the depth of character development that by the end of the movie, that you could at least acknowledge his pain, if not sympathize with the deadbeat dad (but probably still not). What's surprising to me is how the movie was able to resonate deeply without resorting to melodrama, outburst of tears, and catharsis of simple redemption. Instead, a quiet melancholy permeates most scenes; punctuated only by some of the most achingly tender scenes as the estranged kid warms up to his birth father.Must watch if you want a moody slow sad Americana tragedy. Also if you are interested in seeing use of ONE WAY MIRROR AS METAPHOR FOR EMOTIONAL DISTANCE."
60,"One of the most touching films,with exceptional music
by Ry Cooder.Basically a road trip film with tons of emotions
and unforgettable scenes."
61,The screenplay delivers a heartbreaking scenario and it manages to take fantastic sequences with an astonishing twist.
62,"You watch a movie, it bores the crap out of you, and so you go check it out on your favorite websight to see what might have possesed so many other people to praise it so highly.  After reading a dozen or so reviews (see above), you realize that everybody liked the movie for the same reason that you hated it. Because it is boring, plotless, and nothing whatsoever happens thoughout the 2+ hour film.  The only difference between you and the others is that they have used words like ""stark""  and  ""minimalistic"" to describe it, and they explain away the fact that nothing really happens during large chunks of the movie by calling it a study of uncommunicative behavior, or claiming that the setting is the real protagonist in the movie.  Maybe I am a dunce, but I think it is a waste of time."
63,"Look, I'm a 23 year old with no kids or wife. The acting by dean was superb. The story was actually pretty good and the director did a phenomenal job. A lot of good shots and engrossing scenes but my complaint was I couldn't connect with it on the level I feel I should. Dean definitely tried his best and I wanted to be but I just felt a little less emotional about this film than some of the other viewers. Also maybe a good 10 or 15 min shorter probably would have been better"
64,"The film is a deconstruction of the lies and fakes that human lives are built upon, functioning either as a compromise, or a compensation for their unresolved feeling of emptiness. There are several patterns of rehearsal and simulation in ""Texas, Paris"". To begin with, the very title gives the first hint and synthesis of imitation in the story. The original Paris, the idea and mirage the characters dream to live up to, confronted with the sadness and vacuum involved by the impossibility to recreate it. The characters are too absorbed in their incapacity to make their dramas intelligible to themselves and, therefore, too conflicted to be authentic in the hypostasis they are supposed to embrace. Consequently, they mime roles and concepts instead of accessing and revaluing their emotional potential within themselves. The fake family of Walt, Anne and Hunter, for instance. The two grown-ups are playing the parents instead of becoming biological parents themselves. Anne's despair in seeing Travis and Hunter, the real father and son, growing close, as well as her rhetorically articulated fear of what might happen to her marriage should Hunter join his real parents, could also be interpreted as a tentative of escapism from the problems and disconnections within the couple. A ""borrowed"" child and the picture of the dream-family living tranquilly in the suburbs might very well have worked as Prozac for the couple, since both of them seem to lack the inner instruments and resources to define themselves and their feelings in relation to each other in a marital context and build their marriage on real, solid grounds. When accusing her husband of ""promoting the father and son business"", she objectifies a highly humane, delicate and heart-felt subject approaching it in the cold terms of PR and soap-opera, which highlights the extent of her emotional numbness and self-alienation once more. She is more or less in the banner business together with her spouse. Certainly, Walt's particular line of work with banners is not an accident in the movie, but carries the same symbolical connotations of clichés unanimously accepted and imposed as reality. Travis buys a lot named Paris, hoping to settle down there with the woman he loves, but his real-life sentimental paraphrasing of the city of love ends up in a domestic ordeal, abandon and, eventually, loneliness. Having returned to his son, he doesn't know how to behave with him, wondering how a ""Father"" normally relates to his child. He tries on the ""rich father"" role, suit and hat involved, because he has no affective notion and practice of parenthood, at first. Then, when the father and son are walking on two parallel sides of the road on the way back home, Travis mocking his own clumsy father figure morgue and Hunter imitating him, we finally see the two of them in tune with each other, slowly growing out of the stern roles and pretense in their lives and coming to an emotional and authentic reconnection through game, humor and sound self-parody. From that point on, as the story progresses, Hunter undresses himself of his self-perception and experience as Walt's and Anne's surrogate son. The quick, amazing familiarization with each other leaves the viewer with the impression that there had always been a deep father and son complicity that was interrupted and now restored, put back in its rights, as Travis went back being his son's reference point on that street. Heart-broken after their romantic failure, Jane leaves her son in safer hands and reconstructs her particular connection with Travis in her imagination, since their relationship had become too self-destructive to be continued in real-life. Since her mind is no longer able to recreate her lost love's voice and features, she takes a job that consists of entertaining men whom she can't see behind a wall-mirror, identifying their voices with Travis's, and perhaps even hoping he was among them. She, too, elaborates her own substitute for her irreplaceable and impossible romance in a room that is essentially a pretense of intimacy and connection. The wall-mirror is a metaphorical separator of globular lives that can't find peace and a sense of fulfillment within themselves before opening up to one another, held captive within the tragic narcissism of their unhealed obsessions. Bottom line, the movie shows us a very realistic bunch of existentially disoriented people having their lives reduced to a void, striving to deny their sadness while manufacturing surrogates and more tolerable versions of their condition. Personally, I noticed some similarities between Wim Wenders and Jim Jarmusch as far as their theoretical approach on the human condition, loneliness and absurd are concerned. However, while Jarmusch leaves his characters in the uttermost meaninglessness and entropic alienation, this state is only the beginning of the characters' quest for truth and connection in Wenders's far more tender film, making the passage from fake and artificial postures to self-confrontation and blunt honesty, love and, eventually, some melancholic form of togetherness."
65,"Paris, Texas is a unique movie. Anyone watching it will have a hard time forgetting it. It mostly stands out because of its characters. They have real, relatable feelings that come through thanks to the great performances, in particular by Harry Dean Stanton who easily steals the show as a tragic figure and the pleasant surprise that is Hunter Carson, the realistic dialogue, the setting and the use of colour. The way the plot unfolds is also engaging and unpredictable. It's essentially four movies in one.The first establishes the main character and the mystery that surrounds him in a captivating way that keeps the viewer on the edge of his seat. Travis is all alone in the middle of nowhere and he is purposelessly walking in the striking, bleak landscape. His brother Walt picks him up but the long way home provides little to no comfort, it seems that there's no place in this world for him.The second shows him reunite with his son Hunter and explores the family dynamics of a kid with two fathers, as Walt had been raising Hunter as if he were his own son during Travis' absence. It's especially touching when they watch a 5-year old they are reminded what a loving family they had - and lost.The third returns to road movie style, as Travis and Hunter start a quest to trace Jane, which leads to the fourth, the climax of it all. It's the final showdown between Travis and Jane and with it they confront the ghosts of the past in search for redemption and forgiveness."
66,"This cinematically stark West Texas landscape contains a soul-searching, existential odyssey of one man and his search for the meaning of life and re-connection with family. Sad, depressive encounters, and resignation redefine his once high expectations.Strong performances by all actors, (including a remarkable young boy), keep the interest high throughout, and inspire a desire to know everything about their character's lives. This is a tour de force for its European director, Wim Wenders, and other foreign cast and crew members. Unusual for its time, in that a European crew came to one of the bleakest areas of the United States to produce a film, instead of the more typical American film being shot on location overseas."
67,"The film is not bad and has something legitimate to say but it's just a grind to get through for me. A man who was missing for four years is found and his brother is called up to go grab him. His brother and his wife have actually been watching the man's son because the man's wife went missing around the same time. Eventually the man reunites with his son and goes to find the mom and facilitate that reunion as well. The part that is beautiful is the son who was about eight when reunited didn't care about what either of them were doing he was just glad to see them. That's a child's heart being able to forgive and love still when everything went sour. I could relate to some of the feelings of the main character (Travis) but I can't picture a world where I abandon my kids for four years. A week or two work trip is hard enough for me. My wife and I have had plenty of ups and downs but understanding that part is like impossible to me. The acting of the movie isn't bad, I just rate it so low because it's a slog."
68,"A 2001 beautiful desert scene as the start features the Wandering Man dressed in a City Slicking suit with a suitably intelligent tool, a bottle of water.The Established Brother starts the film with the aspects of the establishment, a wife, a caring wife, a house, a car, an adopted child, a business. He ends the film in the same established position. Unmoved by his often-careless, restless brother's plight.The film is a beautiful view of Texas, the US and the planet. It features no violence, no murder, no mutilation.Sexually it is interesting to see Kinski in a participatory voyeuristic sexual setting mirrored thesedays a URL away. Not much has changed. When mankind conquers Star Trek style a distant planet, assumedly it'll appear not to have changed then either; looking at a carbon-based life's planet's desert it's difficult to see prosperity and life.The Young Lady in her Twenties is seen clearly only in the present tense in artificial light. The continuity cuts to night when The Absent Father, with a toy horses head illusionally up his rectum, a note to later when he encounters a lady dressed up in a nurses uniform wearing an inflatable horse around her waist, tells The Child that informing his family of his whereabouts will stop them worrying.The view of Kinski, quill-like, her world upturned and this time gracious to her past nemesis for providing to her her child. Knelt down in front of him while he's abandoning her again himself unable to meet his own expectations, his rocky, still face present. This image is lingering.Ry Cooders music is innately apt.The shown image of a quiet, neon-lit, tumbleweed American town night is echoed rarely, for instance in Jarmuch's Night Train, and Lynch & Frost's Twin Peaks the TV series.Travis has already survived before the film starts. He experiences a intra-US road trip with his brother, and another with his son, à la Persig's Zen and the Art of Motorcycle Maintennance. Yet he communicates at length, the culmination of a story after a story with no guarantee of discovering the former, only with his ex-partner after literally turning his back on her. She follows him by turning her back on him and telling him about the past, yet does not change his plans. He also says a little to Hunter when drunk and being selfish.A classic piece of cinema.--- by Jerome, computer coder, author, and voter of 1,000 films."
69,"If action movies are your thing, you'd probably best steer clear of this one.This is a wonderful poignant story of a failed relationship and human flaws re-lived in hindsight. It is a bit of an art-house movie that won't appeal to the masses. But for those of you who like a movie to slowly unfold and tell a simple story in a tender way, you will love it. The movie cleverly allows the audience to absorb the story at their own pace.I re-visit this movie every few years and it still evokes tremendous emotion for me. The one scene where they are talking through one-way glass and their heads appear as one is one of the most beautiful cinematographic images ever seen. The way the two characters talk about their failed relationship in hindsight is just heart-wrenching. Have a box of tissues handy - you'll need them! There's a lot of raw emotion and a young child involved. The re-born relationship between father and son is delightful - maybe not very realistic, but that doesn't matter!! This is my idea of a great movie!!"
70,"Play Paris, Texas! It is fast and easy to view! A good way to spend your time. Be the best!"
71,"For me Paris, Texas is absolutely the best best film ever made. The dialogues, the atmosphere, the emotions, the impossible relationship between Jane and Travis, the photography, the score and most of all the story are brilliant. Unfortunately Wenders doesn't make such good movies anymore. His last good movie was 'Der Himmel uber Berlin' and maybe 'Until the end of the world'. But after the latter...only reasonable. I'm still hoping for better times!"
72,"This is a sleepy film, with a slow moving and sometimes confusing plot. However in the end , you'll find it an enjoyable film. The Ry Cooder soundtrack really sets the slow pace but adds intrigue to the film."
73,"I haven't seen this movie in many years and ""perhaps"" I should watch it again...BUT I remember trying to get through it the first time was sheer torture. I kept waiting for ANYTHING to happen. You know how you will stick with a movie ten minutes at a time after the first half you think, ""It's got to get better"". Not this one. It was the most boring piece of crap I have EVER seen. One of these days, maybe...when I'm in a vegetative state and nobody is around to change the channel, I'll watch it again. NOT!!!!!!!!!!!For some reason the hamsters here think that it requires some long drawn out critique of a movie for us to express ourselves. Unlike ""professional"" movie critics who blow smoke and pat each other on the back praising their pseudo-intellect. We can actually say whether we like or dislike a movie in a few succinct sentences. So, hopefully my entry is long enough now. It's a shame isn't it?"
74,"When I was about 18 years old I saw Paris, Texas, I guess I saw the movie when I was looking for a good channel. Now it's ten years later and I rented it, and old videotape. I remembered just the atmosphere and now I have seen it again I knew why I loved this movie. It was because I love a good told story. Well, I can't tell what's good about it. If you see this and you don't like the movie after ten minutes, just turn it off and watch something else. If you like to see a good movie, see this one. You wont be disappointed."
75,"I rented this movie based on strong opinions from IMDb users, do not be fooled. This movie is boring as anything you will ever watch. It goes from a slow moving drama to just plain annoying. This film is way too over-hyped! It being the 1984 Cannes Film Festival Winner even though Amadeus and Killing Fields were released the same year, proves the French know little about movies (Except the 94' Race).In short, don't watch this. I rent movies in pairs and also saw ""The Ghost and The Darkness"" which was a far more entertaining movie, so I suggest that for now."
76,The movie is really good and it shown how a man and his son desperate to find their wife and mother.
77,Wrap yourself into a cozy chair and pour yourself a hot chocolate as you enjoy this masterpiece.  Take the phone off the hook as well. Natasha Kinski with a Texas accent.  Dean Stockwell as a regular guy hero (sort of).  Harry Dean Stanton plays a role that only he could have played. Watch this.
